chr	start	end	strand	gene
chr3	44872607	44876607	+	TGM4
chr3	44859911	44863911	+	TMEM42
chr3	45024302	45028302	+	CLEC3B
chr3	45028142	45032142	+	CLEC3B
chr3	44974243	44978243	+	EXOSC7
chr3	45144422	45148422	-	CDCP1
chr3	45224287	45228287	-	TMEM158
chr3	45840119	45844119	-	LZTFL1
chr3	45794536	45798536	-	SLC6A20
chr3	45884542	45888542	+	CCR9
chr3	45884503	45888503	+	CCR9
chr3	45941463	45945463	+	CXCR6
chr3	45993824	45997824	-	FYCO1
chr3	46025483	46029483	-	XCR1
chr3	46083844	46087844	-	XCR1
chr3	46206313	46210313	-	CCR1
chr3	46240459	46244459	+	CCR3
chr3	46240380	46244380	+	CCR3
chr3	46351743	46355743	+	CCR2
chr3	46368141	46372141	+	CCR5
chr3	46352110	46356110	+	CCR2
chr3	46461654	46465654	-	LTF
chr3	46405258	46409258	+	CCRL2
chr3	46405614	46409614	+	CCRL2
chr3	46483234	46487234	-	LTF
chr3	46462905	46466905	-	LTF
chr3	46495975	46499975	+	RTP3
chr3	46572534	46576534	+	TDGF1
chr3	46575787	46579787	+	TDGF1
chr3	46610524	46614524	+	FAM240A
chr3	46691679	46695679	-	ALS2CL
chr3	46715869	46719869	-	PRSS50
chr3	46699391	46703391	+	TMIE
chr3	46691777	46695777	+	TMIE
chr3	46861444	46865444	-	MYL3
chr3	46875720	46879720	+	PTH1R
chr3	46880248	46884248	+	PTH1R
chr3	46977665	46981665	+	NBEAL2
chr3	46985989	46989989	+	NBEAL2
chr3	47280799	47284799	-	KIF9
chr3	47280598	47284598	-	KIF9
chr3	47379020	47383020	+	PTPN23
chr3	47576865	47580865	-	CSPG5
chr3	47576869	47580869	-	CSPG5
chr3	47511345	47515345	-	ELP6
chr3	47511712	47515712	-	ELP6
chr3	48186417	48190417	-	CDC25A
chr3	48221494	48225494	+	CAMP
chr3	48299411	48303411	-	NME6
chr3	48299685	48303685	-	NME6
chr3	48239103	48243103	+	ZNF589
chr3	48326341	48330341	-	SPINK8
chr3	48438119	48442119	-	CCDC51
chr3	48428086	48432086	-	PLXNB1
chr3	48438256	48442256	+	TMA7
chr3	48427463	48431463	-	PLXNB1
chr3	48463829	48467829	+	TREX1
chr3	48471158	48475158	-	SHISA5
chr3	48370218	48374218	+	FBXW12
chr3	48444736	48448736	+	ATRIP
chr3	48464229	48468229	+	TREX1
chr3	48445125	48449125	+	ATRIP
chr3	48444709	48448709	+	ATRIP
chr3	48561781	48565781	-	UCN2
chr3	48554803	48558803	-	PFKFB4
chr3	48559129	48563129	-	PFKFB4
chr3	48607646	48611646	-	UQCRC1
chr3	48619769	48623769	-	TMEM89
chr3	48593329	48597329	-	COL7A1
chr3	48715278	48719278	-	IP6K2
chr3	48715221	48719221	-	IP6K2
chr3	48660886	48664886	-	CELSR3
chr3	48683915	48687915	-	NCKIPSD
chr3	48916841	48920841	+	ARIH2
chr3	48987907	48991907	+	P4HTM
chr3	49016580	49020580	-	DALRD3
chr3	49005390	49009390	+	WDR6
chr3	49016608	49020608	-	DALRD3
chr3	48988240	48992240	+	P4HTM
chr3	49005604	49009604	+	WDR6
chr3	49091632	49095632	-	QRICH1
chr3	49102757	49106757	-	QARS1
chr3	49118938	49122938	-	USP19
chr3	49092373	49096373	-	QRICH1
chr3	49131050	49135050	-	LAMB2
chr3	49019184	49023184	+	NDUFAF3
chr3	49020120	49024120	+	NDUFAF3
chr3	49019640	49023640	+	NDUFAF3
chr3	49027398	49031398	-	IMPDH2
chr3	49092071	49096071	-	QRICH1
chr3	49189858	49193858	-	C3orf84
chr3	49275232	49279232	-	C3orf62
chr3	49197497	49201497	+	IHO1
chr3	49196427	49200427	+	IHO1
chr3	49164331	49168331	-	CCDC71
chr3	49169597	49173597	+	KLHDC8B
chr3	49356353	49360353	-	GPX1
chr3	49409976	49413976	-	RHOA
chr3	49356600	49360600	-	GPX1
chr3	49468131	49472131	+	DAG1
chr3	49420473	49424473	-	AMT
chr3	49468266	49472266	+	DAG1
chr3	49466702	49470702	+	DAG1
chr3	49427324	49431324	-	NICN1
chr3	49552476	49556476	+	BSN
chr3	49687556	49691556	+	RNF123
chr3	49784540	49788540	-	IP6K1
chr3	49717684	49721684	-	AMIGO3
chr3	49721974	49725974	-	GMPPB
chr3	49801260	49805260	+	INKA1
chr3	49784194	49788194	-	IP6K1
chr3	49797873	49801873	-	CDHR4
chr3	49721951	49725951	-	GMPPB
chr3	49686763	49690763	-	MST1
chr3	49784542	49788542	-	IP6K1
chr3	49901637	49905637	-	MST1R
chr3	49901873	49905873	-	MST1R
chr3	49867906	49871906	-	CAMKV
chr3	49854564	49858564	-	TRAIP
chr3	49928012	49932012	-	MON1A
chr3	50086918	50090918	+	RBM5
chr3	50157018	50161018	+	SEMA3F
chr3	50153323	50157323	+	SEMA3F
chr3	50153057	50157057	+	SEMA3F
chr3	50189609	50193609	+	GNAT1
chr3	50320850	50324850	-	HYAL2
chr3	50267146	50271146	+	SEMA3B
chr3	50244909	50248909	+	GNAI2
chr3	50265557	50269557	+	SEMA3B
chr3	50225067	50229067	+	GNAI2
chr3	50234203	50238203	+	GNAI2
chr3	50228775	50232775	+	GNAI2
chr3	50297405	50301405	-	HYAL3
chr3	50326238	50330238	-	TUSC2
chr3	50296860	50300860	-	HYAL3
chr3	50297405	50301405	-	NAA80
chr3	50271118	50275118	+	SEMA3B
chr3	50301574	50305574	-	HYAL1
chr3	50277086	50281086	+	LSMEM2
chr3	50203270	50207270	+	SLC38A3
chr3	50267160	50271160	+	SEMA3B
chr3	50310381	50314381	-	HYAL1
chr3	50320745	50324745	-	HYAL2
chr3	50296860	50300860	-	NAA80
chr3	50290429	50294429	-	IFRD2
chr3	50348775	50352775	-	NPRL2
chr3	50357521	50361521	-	TMEM115
chr3	50343732	50347732	-	ZMYND10
chr3	50348861	50352861	+	CYB561D2
chr3	50565747	50569747	-	C3orf18
chr3	50569027	50573027	-	C3orf18
chr3	50567151	50571151	+	HEMK1
chr3	50615150	50619150	+	MAPKAPK3
chr3	50615130	50619130	+	MAPKAPK3
chr3	50609861	50613861	+	MAPKAPK3
chr3	50609774	50613774	-	CISH
chr3	51498015	51502015	-	DCAF1
chr3	51389284	51393284	+	RBM15B
chr3	51498002	51502002	-	DCAF1
chr3	51383290	51387290	+	MANF
chr3	51669174	51673174	+	TEX264
chr3	51705067	51709067	+	GRM2
chr3	51669251	51673251	+	TEX264
chr3	51901353	51905353	-	IQCF1
chr3	51777237	51781237	-	IQCF6
chr3	51824882	51828882	+	IQCF3
chr3	51873601	51877601	-	IQCF5
chr3	51859614	51863614	+	IQCF2
chr3	51940304	51944304	+	PARP3
chr3	51981534	51985534	+	ACY1
chr3	51965454	51969454	-	PCBP4
chr3	51965466	51969466	-	PCBP4
chr3	51940362	51944362	+	PARP3
chr3	51993895	51997895	-	RPL29
chr3	51939904	51943904	-	RRP9
chr3	51973063	51977063	+	ABHD14A
chr3	51972630	51976630	-	ABHD14B
chr3	51960892	51964892	-	PCBP4
chr3	51973063	51977063	+	ABHD14A-ACY1
chr3	51953380	51957380	+	GPR62
chr3	52152423	52156423	-	POC1A
chr3	52054571	52058571	-	DUSP7
chr3	52196082	52200082	+	ALAS1
chr3	52237158	52241158	-	TWF2
chr3	52285819	52289819	+	GLYCTK
chr3	52243758	52247758	+	PPM1M
chr3	52244166	52248166	+	PPM1M
chr3	52285827	52289827	+	GLYCTK
chr3	52196159	52200159	+	ALAS1
chr3	52276649	52280649	-	WDR82
chr3	52224163	52228163	-	TLR9
chr3	52408008	52412008	-	BAP1
chr3	52408659	52412659	+	PHF7
chr3	52314318	52318318	+	DNAH1
chr3	52531857	52535857	-	NT5DC2
chr3	52533027	52537027	-	NT5DC2
chr3	52443103	52447103	-	SEMA3G
chr3	52452041	52456041	-	TNNC1
chr3	52493337	52497337	+	STAB1
chr3	52453603	52457603	+	NISCH
chr3	52534604	52538604	+	SMIM4
chr3	52768949	52772949	-	NEK4
chr3	52704083	52708083	-	GLT8D1
chr3	52776485	52780485	+	ITIH1
chr3	52777925	52781925	+	ITIH1
chr3	52777920	52781920	+	ITIH1
chr3	52792767	52796767	+	ITIH3
chr3	52768940	52772940	-	NEK4
chr3	52775598	52779598	+	ITIH1
chr3	52701698	52705698	-	GLT8D1
chr3	52704105	52708105	+	SPCS1
chr3	52895548	52899548	-	STIMATE
chr3	52895548	52899548	-	STIMATE-MUSTN1
chr3	52833019	52837019	-	MUSTN1
chr3	53128435	53132435	-	RFT1
chr3	53166702	53170702	+	PRKCD
chr3	53159208	53163208	+	PRKCD
chr3	53159506	53163506	+	PRKCD
chr3	53254114	53258114	-	TKT
chr3	53254022	53258022	-	TKT
chr3	53844567	53848567	+	IL17RB
chr3	53844419	53848419	-	CHDH
chr3	53889859	53893859	-	SELENOK
chr3	55483142	55487142	-	WNT5A
chr3	55483285	55487285	-	WNT5A
chr3	55479398	55483398	-	WNT5A
chr3	55485306	55489306	-	WNT5A
chr3	56555155	56559155	+	CCDC66
chr3	56555174	56559174	+	CCDC66
chr3	57058663	57062663	+	SPATA12
chr3	57225615	57229615	-	HESX1
chr3	57197978	57201978	-	HESX1
chr3	57225728	57229728	+	APPL1
chr3	57595344	57599344	-	ARF4
chr3	57554273	57558273	+	PDE12
chr3	57888001	57892001	+	SLMAP
chr3	57887913	57891913	+	SLMAP
chr3	58235791	58239791	+	ABHD6
chr3	58304244	58308244	+	HTD2
chr3	58235501	58239501	+	ABHD6
chr3	58304244	58308244	+	RPP14
chr3	58304519	58308519	+	RPP14
chr3	58304519	58308519	+	HTD2
chr3	58330889	58334889	+	PXK
chr3	58431852	58435852	-	PDHB
chr3	58330891	58334891	+	PXK
chr3	58431832	58435832	-	PDHB
chr3	58331305	58335305	+	PXK
chr3	58496364	58500364	+	KCTD6
chr3	58535190	58539190	-	ACOX2
chr3	58585014	58589014	-	FAM107A
chr3	58575391	58579391	-	FAM107A
chr3	58490095	58494095	+	KCTD6
chr3	58664774	58668774	-	FAM3D
chr3	62371550	62375550	-	FEZF2
chr3	62316972	62320972	+	C3orf14
chr3	62317021	62321021	+	C3orf14
chr3	63650674	63654674	+	SNTN
chr3	63861805	63865805	-	THOC7
chr3	63861786	63865786	-	THOC7
chr3	63861923	63865923	-	THOC7
chr3	64021472	64025472	-	PSMD6
chr3	64022010	64026010	-	PSMD6
chr3	64021606	64025606	-	PSMD6
chr3	64021494	64025494	-	PSMD6
chr3	63965793	63969793	+	ATXN7
chr3	66403767	66407767	-	LRIG1
chr3	66404158	66408158	-	LRIG1
chr3	66996306	67000306	+	KBTBD8
chr3	69050333	69054333	-	TMF1
chr3	69011684	69015684	-	EOGT
chr3	69120595	69124595	-	LMOD3
chr3	69082936	69086936	+	ARL6IP5
chr3	69934591	69938591	+	MITF
chr3	69864223	69868223	+	MITF
chr3	71783148	71787148	-	PROK2
chr3	71751854	71755854	+	GPR27
chr3	72444623	72448623	-	RYBP
chr3	72846445	72850445	-	SHQ1
chr3	72886045	72890045	+	GXYLT2
chr3	73059658	73063658	+	EBLN2
chr3	75662190	75666190	+	FRG2C
chr3	86989149	86993149	-	VGLL3
chr3	87274584	87278584	-	POU1F1
chr3	87225308	87229308	+	CHMP2B
chr3	88056996	88060996	-	CGGBP1
chr3	87980575	87984575	+	HTR1F
chr3	88057005	88061005	-	CGGBP1
chr3	88147958	88151958	+	C3orf38
chr3	93971896	93975896	-	PROS1
chr3	94060916	94064916	-	DHFR2
chr3	93978138	93982138	+	ARL13B
chr3	93978154	93982154	+	ARL13B
chr3	94026597	94030597	-	STX19
chr3	97970431	97974431	-	RIOX2
chr3	97970451	97974451	-	RIOX2
chr3	98033304	98037304	-	GABRR3
chr3	98130697	98134697	+	OR5H1
chr3	98166699	98170699	+	OR5H15
chr3	98147385	98151385	+	OR5H14
chr3	98085172	98089172	+	OR5AC2
chr3	98280887	98284887	+	OR5H2
chr3	98262243	98266243	+	OR5H6
chr3	98351853	98355853	+	OR5K4
chr3	98388665	98392665	+	OR5K3
chr3	98520902	98524902	-	CLDND1
chr3	98495680	98499680	+	OR5K2
chr3	98521066	98525066	-	CLDND1
chr3	98529977	98533977	+	GPR15
chr3	98467479	98471479	+	OR5K1
chr3	98591611	98595611	-	CPOX
chr3	98730703	98734703	+	ST3GAL6
chr3	98730235	98734235	+	ST3GAL6
chr3	98761306	98765306	+	ST3GAL6
chr3	98731455	98735455	+	ST3GAL6
chr3	99874203	99878203	-	FILIP1L
chr3	99874173	99878173	-	FILIP1L
chr3	100332756	100336756	+	NIT2
chr3	100399089	100403089	-	TOMM70
chr3	100399538	100403538	+	LNP1
chr3	100707330	100711330	+	TFG
chr3	100707541	100711541	+	TFG
chr3	100707493	100711493	+	TFG
chr3	100707289	100711289	+	TFG
chr3	101559867	101563867	+	TRMT10C
chr3	101684718	101688718	-	RPL24
chr3	101675132	101679132	-	ZBTB11
chr3	101777210	101781210	+	NXPE3
chr3	101722613	101726613	+	CEP97
chr3	101777663	101781663	+	NXPE3
chr3	101847513	101851513	+	NFKBIZ
chr3	102433014	102437014	+	ZPLD1
chr3	107375438	107379438	+	CCDC54
chr3	108089031	108093031	-	CD47
chr3	108220424	108224424	-	IFT57
chr3	108294489	108298489	+	HHLA2
chr3	108294547	108298547	+	HHLA2
chr3	108309784	108313784	+	HHLA2
chr3	108300484	108304484	+	HHLA2
chr3	108587438	108591438	-	CIP2A
chr3	108755283	108759283	-	RETNLB
chr3	108820785	108824785	+	TRAT1
chr3	109134718	109138718	+	C3orf85
chr3	109335517	109339517	-	DPPA4
chr3	109335572	109339572	-	DPPA4
chr3	111593346	111597346	-	ZBED2
chr3	111996738	112000738	+	TAGLN3
chr3	111997159	112001159	+	TAGLN3
chr3	111996921	112000921	+	TAGLN3
chr3	111977025	111981025	+	ABHD10
chr3	112131248	112135248	-	GCSAM
chr3	112084334	112088334	+	C3orf52
chr3	112084388	112088388	+	C3orf52
chr3	112330946	112334946	+	CD200
chr3	112330572	112334572	+	CD200
chr3	112331155	112335155	+	CD200
chr3	112560044	112564044	+	SLC35A5
chr3	112559319	112563319	+	SLC35A5
chr3	112559679	112563679	+	SLC35A5
chr3	112497472	112501472	-	BTLA
chr3	112559962	112563962	-	ATG3
chr3	112639143	112643143	-	CCDC80
chr3	112844856	112848856	-	CD200R1L
chr3	112973103	112977103	-	CD200R1
chr3	113017671	113021671	-	NEPRO
chr3	112988983	112992983	+	GTPBP8
chr3	112988952	112992952	+	GTPBP8
chr3	113530370	113534370	+	SIDT1
chr3	113530554	113534554	+	SIDT1
chr3	113694642	113698642	-	USF3
chr3	113744249	113748249	-	NAA50
chr3	113946012	113950012	+	ZDHHC23
chr3	113945900	113949900	+	ZDHHC23
chr3	114054736	114058736	+	QTRT2
chr3	114235578	114239578	-	ZNF80
chr3	114381642	114385642	-	ZBTB20
chr3	115621509	115625509	+	GAP43
chr3	119171597	119175597	+	UPK1B
chr3	119144164	119148164	+	TEX55
chr3	119238878	119242878	-	B4GALT4
chr3	119461615	119465615	-	TMEM39A
chr3	119466962	119470962	+	POGLUT1
chr3	119496546	119500546	+	TIMMDC1
chr3	119577491	119581491	+	ADPRH
chr3	119598270	119602270	+	PLA1A
chr3	119595847	119599847	+	PLA1A
chr3	119595884	119599884	+	PLA1A
chr3	119658589	119662589	-	POPDC2
chr3	119701021	119705021	+	CFAP91
chr3	119675406	119679406	-	COX17
chr3	120448992	120452992	-	FSTL1
chr3	120347354	120351354	-	LRRC58
chr3	120594335	120598335	+	NDUFB4
chr3	120680239	120684239	-	HGD
chr3	120740743	120744743	+	GTF2E1
chr3	121591378	121595378	+	FBXO40
chr3	121565948	121569948	+	ARGFX
chr3	121747741	121751741	-	GOLGB1
chr3	121747767	121751767	-	GOLGB1
chr3	121833208	121837208	+	EAF2
chr3	121833079	121837079	-	IQCB1
chr3	121833179	121837179	+	EAF2
chr3	121833060	121837060	-	IQCB1
chr3	122020247	122024247	-	ILDR1
chr3	122053361	122057361	+	CD86
chr3	122075848	122079848	+	CD86
chr3	122381231	122385231	-	CCDC58
chr3	122323247	122327247	+	CSTA
chr3	122414062	122418062	-	WDR5B
chr3	122382181	122386181	+	FAM162A
chr3	122512939	122516939	-	KPNA1
chr3	122575649	122579649	+	PARP15
chr3	122613614	122617614	+	PARP15
chr3	122562337	122566337	+	DTX3L
chr3	122791831	122795831	-	HSPBAP1
chr3	123582617	123586617	-	HACD2
chr3	123583053	123587053	-	HACD2
chr3	123618548	123622548	-	MYLK
chr3	123959229	123963229	-	CCDC14
chr3	123989352	123993352	-	ROPN1
chr3	123990170	123994170	-	ROPN1
chr3	124728451	124732451	+	UMPS
chr3	125518202	125522202	-	SNX4
chr3	125935179	125939179	-	ALG1L
chr3	125967177	125971177	+	ROPN1B
chr3	126055125	126059125	-	SLC41A3
chr3	126082124	126086124	-	SLC41A3
chr3	126179186	126183186	-	ALDH1L1
chr3	126178586	126182586	-	ALDH1L1
chr3	126473919	126477919	-	ZXDC
chr3	126392908	126396908	+	CFAP100
chr3	126473891	126477891	-	ZXDC
chr3	126556932	126560932	-	C3orf22
chr3	126522154	126526154	+	CHST13
chr3	127191130	127195130	+	C3orf56
chr3	127286046	127290046	-	PRR20G
chr3	127588733	127592733	-	TPRA1
chr3	127596231	127600231	-	TPRA1
chr3	127596410	127600410	+	MCM2
chr3	127670937	127674937	+	ABTB1
chr3	127670951	127674951	+	ABTB1
chr3	128151914	128155914	-	RUVBL1
chr3	128121812	128125812	-	RUVBL1
chr3	128485921	128489921	-	GATA2
chr3	128486530	128490530	-	GATA2
chr3	128491201	128495201	-	GATA2
chr3	128465248	128469248	-	DNAJB8
chr3	128648818	128652818	-	RPN1
chr3	128724182	128728182	+	RAB7A
chr3	128877619	128881619	+	ACAD9
chr3	128999303	129003303	+	EFCC1
chr3	129058778	129062778	+	GP9
chr3	129181896	129185896	-	CNBP
chr3	129159063	129163063	-	ISY1
chr3	129276840	129280840	+	HMCES
chr3	129276831	129280831	+	HMCES
chr3	129314286	129318286	-	H1-10
chr3	129247605	129251605	+	COPG1
chr3	129276993	129280993	+	HMCES
chr3	129276869	129280869	+	HMCES
chr3	129276973	129280973	+	HMCES
chr3	129438179	129442179	-	MBD4
chr3	129437948	129441948	-	MBD4
chr3	129426636	129430636	-	EFCAB12
chr3	129604676	129608676	-	PLXND1
chr3	129546384	129550384	+	H1-8
chr3	129526638	129530638	+	RHO
chr3	129541174	129545174	+	H1-8
chr3	129686732	129690732	-	TMCC1
chr3	129722113	129726113	-	TMCC1
chr3	129972719	129976719	+	TRH
chr3	130079830	130083830	+	ALG1L2
chr3	130558333	130562333	+	COL6A6
chr3	130744829	130748829	-	PIK3R4
chr3	131024825	131028825	-	ASTE1
chr3	131024854	131028854	-	ASTE1
chr3	131379764	131383764	+	NUDT16
chr3	131379773	131383773	+	NUDT16
chr3	131379670	131383670	+	NUDT16
chr3	132315406	132319406	+	ACP3
chr3	132595269	132599269	+	ACKR4
chr3	132598136	132602136	+	ACKR4
chr3	132658696	132662696	+	UBA5
chr3	132657496	132661496	+	UBA5
chr3	132720409	132724409	-	NPHP3
chr3	132652445	132656445	+	UBA5
chr3	132658328	132662328	+	UBA5
chr3	133571685	133575685	+	CDV3
chr3	133659941	133663941	-	TOPBP1
chr3	133572433	133576433	+	CDV3
chr3	133782022	133786022	+	SRPRB
chr3	133744392	133748392	+	TF
chr3	133803814	133807814	+	SRPRB
chr3	134372447	134376447	-	AMOTL2
chr3	134372910	134376910	-	AMOTL2
chr3	134373417	134377417	-	AMOTL2
chr3	134484172	134488172	+	CEP63
chr3	134484044	134488044	+	CEP63
chr3	134483723	134487723	+	CEP63
chr3	134484056	134488056	+	CEP63
chr3	136860207	136864207	+	NCK1
chr3	136928501	136932501	+	NCK1
chr3	137762314	137766314	+	SOX14
chr3	138111480	138115480	-	DZIP1L
chr3	138130390	138134390	-	A4GNT
chr3	138113608	138117608	-	DZIP1L
chr3	138172921	138176921	-	DBR1
chr3	138345647	138349647	+	MRAS
chr3	138346849	138350849	+	MRAS
chr3	138346578	138350578	+	MRAS
chr3	138346665	138350665	+	MRAS
chr3	138347219	138351219	+	MRAS
chr3	138432615	138436615	+	ESYT3
chr3	138606770	138610770	+	FAIM
chr3	138607048	138611048	+	FAIM
chr3	139004268	139008268	-	PRR23A
chr3	139042892	139046892	-	PRR23C
chr3	139018926	139022926	-	PRR23B
chr3	138945216	138949216	+	FOXL2NB
chr3	138945137	138949137	-	FOXL2
chr3	139342019	139346019	+	MRPS22
chr3	139387647	139391647	-	COPB2
chr3	139342550	139346550	+	MRPS22
chr3	139341993	139345993	+	MRPS22
chr3	139537742	139541742	-	RBP1
chr3	139537636	139541636	-	RBP1
chr3	140676063	140680063	+	TRIM42
chr3	140939835	140943835	+	SLC25A36
chr3	141049346	141053346	+	SPSB4
chr3	141229824	141233824	+	PXYLP1
chr3	141736208	141740208	+	RNF7
chr3	141736297	141740297	+	RNF7
chr3	141761407	141765407	+	GRK7
chr3	141874642	141878642	+	ATP1B3
chr3	142446062	142450062	-	XRN1
chr3	142654896	142658896	+	PLS1
chr3	142621423	142625423	+	PLS1
chr3	142961674	142965674	-	PAQR9
chr3	142962008	142966008	-	PAQR9
chr3	143117770	143121770	+	CHST2
chr3	142999569	143003569	+	U2SURP
chr3	143971080	143975080	+	DIPK2A
chr3	143969797	143973797	+	DIPK2A
chr3	143969822	143973822	+	DIPK2A
chr3	146249105	146253105	-	PLSCR4
chr3	146248615	146252615	-	PLSCR4
chr3	146249179	146253179	-	PLSCR4
chr3	146467301	146471301	-	PLSCR2
chr3	146493991	146497991	-	PLSCR2
chr3	146604216	146608216	-	PLSCR5
chr3	147404543	147408543	-	ZIC4
chr3	147403520	147407520	-	ZIC4
chr3	147404809	147408809	-	ZIC4
chr3	147402284	147406284	-	ZIC4
chr3	147407364	147411364	+	ZIC1
chr3	148695902	148699902	+	AGTR1
chr3	148695870	148699870	+	AGTR1
chr3	148728179	148732179	+	AGTR1
chr3	148825810	148829810	+	CPB1
chr3	148863295	148867295	+	CPA3
chr3	148989407	148993407	+	GYG1
chr3	149084533	149088533	-	HLTF
chr3	149084554	149088554	-	HLTF
chr3	149219829	149223829	-	CP
chr3	149331636	149335636	-	TM4SF18
chr3	149375649	149379649	-	TM4SF1
chr3	149331438	149335438	-	TM4SF18
chr3	149472696	149476696	+	TM4SF4
chr3	149790554	149794554	-	ANKUB1
chr3	149750489	149754489	-	COMMD2
chr3	149981366	149985366	-	TMEM183B
chr3	149968895	149972895	-	PFN2
chr3	150406297	150410297	+	TSC22D2
chr3	150544786	150548786	+	EIF2A
chr3	150544496	150548496	-	SERP1
chr3	150544677	150548677	+	EIF2A
chr3	150701920	150705920	-	ERICH6
chr3	150601320	150605320	+	SELENOT
chr3	150761169	150765169	-	SIAH2
chr3	150903439	150907439	-	MINDY4B
chr3	150942236	150946236	-	CLRN1
chr3	150970999	150974999	-	CLRN1
chr3	150970727	150974727	-	CLRN1
chr3	151201216	151205216	-	GPR171
chr3	151246991	151250991	-	P2RY14
chr3	151314820	151318820	-	GPR87
chr3	151382753	151386753	-	P2RY12
chr3	151338822	151342822	-	P2RY12
chr3	151327549	151331549	-	P2RY13
chr3	151438780	151442780	-	IGSF10
chr3	151459061	151463061	-	IGSF10
chr3	151731926	151735926	+	AADACL2
chr3	151812115	151816115	+	AADAC
chr3	151871642	151875642	+	SUCNR1
chr3	152833130	152837130	+	P2RY1
chr3	153160225	153164225	+	RAP2B
chr3	154322497	154326497	-	DHX36
chr3	154322487	154326487	-	DHX36
chr3	155078010	155082010	+	MME
chr3	155077869	155081869	+	MME
chr3	155077671	155081671	+	MME
chr3	155078318	155082318	+	MME
chr3	155291683	155295683	-	STRIT1
chr3	155804287	155808287	-	C3orf33
chr3	155804278	155808278	-	C3orf33
chr3	155868649	155872649	+	GMPS
chr3	156553200	156557200	-	SSR3
chr3	156553117	156557117	-	SSR3
chr3	156552125	156556125	-	SSR3
chr3	156552845	156556845	-	SSR3
chr3	156672589	156676589	+	TIPARP
chr3	156672925	156676925	+	TIPARP
chr3	156674663	156678663	+	TIPARP
chr3	157501605	157505605	-	VEPH1
chr3	157434849	157438849	+	PTX3
chr3	157493506	157497506	-	VEPH1
chr3	158104163	158108163	-	SHOX2
chr3	158104420	158108420	-	SHOX2
chr3	158670648	158674648	-	LXN
chr3	158642526	158646526	+	GFM1
chr3	158642527	158646527	+	GFM1
chr3	158800053	158804053	+	MFSD1
chr3	159837860	159841860	+	SCHIP1
chr3	159986834	159990834	+	IL12A
chr3	160223421	160227421	+	C3orf80
chr3	160447786	160451786	-	TRIM59
chr3	160675159	160679159	+	ARL14
chr3	161219310	161223310	+	NMD3
chr3	161219289	161223289	+	NMD3
chr3	161494807	161498807	+	OTOL1
chr3	165194871	165198871	-	SLITRK3
chr3	165195109	165199109	-	SLITRK3
chr3	165194384	165198384	-	SLITRK3
chr3	167472132	167476132	-	SERPINI2
chr3	167472042	167476042	-	SERPINI2
chr3	167732863	167736863	-	PDCD10
chr3	167732842	167736842	-	PDCD10
chr3	167732892	167736892	-	PDCD10
chr3	169144539	169148539	-	MECOM
chr3	169145471	169149471	-	MECOM
chr3	169143523	169147523	-	MECOM
chr3	169144305	169148305	-	MECOM
chr3	169819890	169823890	+	LRRIQ4
chr3	169810904	169814904	-	LRRC34
chr3	169767561	169771561	-	ACTRT3
chr3	169771395	169775395	+	MYNN
chr3	169772264	169776264	+	MYNN
chr3	169909571	169913571	+	SAMD7
chr3	169964806	169968806	+	SEC62
chr3	170035994	170039994	+	GPR160
chr3	170416867	170420867	+	CLDN11
chr3	170419225	170423225	+	CLDN11
chr3	170868195	170872195	-	RPL22L1
chr3	170906637	170910637	-	EIF5A2
chr3	171024720	171028720	-	SLC2A2
chr3	171841348	171845348	+	TMEM212
chr3	172446456	172450456	-	GHSR
chr3	172521430	172525430	-	TNFSF10
chr3	172709067	172713067	-	NCEH1
chr3	179265050	179269050	-	KCNMB3
chr3	179249615	179253615	-	KCNMB3
chr3	179257891	179261891	-	KCNMB3
chr3	179249857	179253857	-	KCNMB3
chr3	179321452	179325452	+	ZNF639
chr3	179320875	179324875	+	ZNF639
chr3	179321030	179325030	+	ZNF639
chr3	179345708	179349708	+	MFN1
chr3	179602638	179606638	-	MRPL47
chr3	179602793	179606793	+	NDUFB5
chr3	179602786	179606786	+	NDUFB5
chr3	179602646	179606646	-	MRPL47
chr3	180910670	180914670	+	FXR1
chr3	180987518	180991518	-	DNAJC19
chr3	180910669	180914669	+	FXR1
chr3	180987736	180991736	-	DNAJC19
chr3	181709924	181713924	+	SOX2
chr3	183097587	183101587	-	MCCC1
chr3	183097496	183101496	-	MCCC1
chr3	183160734	183164734	-	LAMP3
chr3	183251252	183255252	+	B3GNT5
chr3	183633622	183637622	+	KLHL24
chr3	183882880	183886880	-	PARL
chr3	183823577	183827577	-	MAP6D1
chr3	184015884	184019884	-	ABCC5
chr3	184051046	184055046	+	HTR3C
chr3	184029741	184033741	+	HTR3D
chr3	184030830	184034830	+	HTR3D
chr3	184095063	184099063	+	HTR3E
chr3	184133357	184137357	+	EIF2B5
chr3	184098178	184102178	+	HTR3E
chr3	184029543	184033543	+	HTR3D
chr3	184184074	184188074	+	ABCF3
chr3	184172845	184176845	+	AP2M1
chr3	184231415	184235415	+	VWA5B2
chr3	184246962	184250962	-	ALG3
chr3	184247525	184251525	-	ALG3
chr3	184172854	184176854	+	AP2M1
chr3	184259553	184263553	-	CAMK2N2
chr3	184247671	184251671	+	EEF1AKMT4
chr3	184228352	184232352	+	VWA5B2
chr3	184298580	184302580	+	PSMD2
chr3	184361360	184365360	+	POLR2H
chr3	184376208	184380208	-	THPO
chr3	184297240	184301240	+	PSMD2
