chr	start_promoter	end_promoter	strand	gene_name
chr2	111366591	111370591	+	OLFR1283
chr2	111376967	111380967	+	OLFR1284
chr2	111421112	111425112	-	OLFR1286
chr2	111447142	111451142	+	OLFR1287
chr2	111476786	111480786	+	OLFR1288
chr2	111481349	111485349	+	OLFR1289
chr2	111491815	111495815	-	OLFR1290
chr2	111538170	111542170	-	OLFR1294
chr2	111567597	111571597	-	OLFR1295
chr2	111624418	111628418	-	OLFR1297
chr2	111643995	111647995	-	OLFR1298
chr2	111659453	111663453	+	OLFR1299
chr2	111749110	111753110	+	OLFR1301
chr2	111778313	111782313	+	OLFR1302
chr2	111812724	111816724	-	OLFR1303
chr2	111871853	111875853	-	OLFR1305
chr2	111910928	111914928	-	OLFR1306
chr2	111943454	111947454	-	OLFR1307
chr2	111962732	111966732	-	OLFR1308
chr2	111982096	111986096	-	OLFR1309
chr2	111982097	111986097	-	OLFR1309
chr2	112007210	112011210	-	OLFR1310
chr2	112019854	112023854	-	OLFR1311
chr2	112041030	112045030	-	OLFR1312
chr2	112070583	112074583	-	OLFR1313
chr2	112090699	112094699	-	OLFR1314
chr2	112109256	112113256	-	OLFR1315-PS1
chr2	112128815	112132815	-	OLFR1316
chr2	112139947	112143947	+	OLFR1317
chr2	112153318	112157318	+	OLFR1318
chr2	112237468	112241468	+	LPCAT4
chr2	112257291	112261291	-	NUTM1
chr2	112259926	112263926	+	NOP10
chr2	112263825	112267825	+	SLC12A6
chr2	112264314	112268314	+	GM21985
chr2	112366027	112370027	-	EMC4
chr2	112377211	112381211	+	KATNBL1
chr2	112452997	112456997	+	EMC7
chr2	112478769	112482769	-	CHRM5
chr2	112490964	112494964	+	AVEN
chr2	113215096	113219096	-	RYR3
chr2	113283732	113287732	+	TMCO5B
chr2	113325736	113329736	+	FMN1
chr2	113756646	113760646	-	GREM1
chr2	113827121	113831121	-	SCG5
chr2	113846661	113850661	-	ARHGAP11A
chr2	114011619	114015619	-	GJD2
chr2	114051548	114055548	-	ACTC1
chr2	114185024	114189024	-	AQR
chr2	114199469	114203469	-	ZFP770
chr2	114652964	114656964	-	DPH6
chr2	115579716	115583716	+	BC052040
chr2	116063839	116067839	-	MEIS2
chr2	116876691	116880691	+	TMCO5
chr2	117119374	117123374	+	SPRED1
chr2	117247739	117251739	+	FAM98B
chr2	117341001	117345001	-	RASGRP1
chr2	118109876	118113876	+	THBS1
chr2	118254966	118258966	-	FSIP1
chr2	118371419	118375419	-	GPR176
chr2	118386618	118390618	+	EIF2AK4
chr2	118477711	118481711	-	SRP14
chr2	118547687	118551687	-	BMF
chr2	118596211	118600211	+	BUB1B
chr2	118661303	118665303	+	PAK6
chr2	118701963	118705963	-	ANKRD63
chr2	118726438	118730438	-	PLCB2
chr2	118760661	118764661	-	A430105I19RIK
chr2	118770769	118774769	+	PHGR1
chr2	118777719	118781719	+	DISP2
chr2	118812003	118816003	+	KNSTRN
chr2	118859954	118863954	+	IVD
chr2	118898377	118902377	+	BAHD1
chr2	118924496	118928496	+	CHST14
chr2	119027393	119031393	-	CCDC32
chr2	119032790	119036790	+	RPUSD2
chr2	119045119	119049119	+	CASC5
chr2	119110793	119114793	+	RAD51
chr2	119155034	119159034	-	RMDN3
chr2	119165773	119169773	+	GCHFR
chr2	119206795	119210795	-	DNAJC17
chr2	119172509	119176509	+	GM14137
chr2	119206617	119210617	+	ZFYVE19
chr2	119227906	119231906	-	PPP1R14D
chr2	119235362	119239362	+	SPINT1
chr2	119269272	119273272	-	RHOV
chr2	119286740	119290740	+	VPS18
chr2	119323784	119327784	+	DLL4
chr2	119349229	119353229	+	CHAC1
chr2	119475687	119479687	-	INO80
chr2	119545627	119549627	-	EXD1
chr2	119545697	119549697	+	CHP1
chr2	119616469	119620469	-	OIP5
chr2	119616298	119620298	+	NUSAP1
chr2	119660827	119664827	-	NDUFAF1
chr2	119673068	119677068	+	RTF1
chr2	119740337	119744337	+	ITPKA
chr2	119758431	119762431	-	LTK
chr2	119785537	119789537	-	RPAP1
chr2	119795733	119799733	+	TYRO3
chr2	119895228	119899228	+	MGA
chr2	119970699	119974699	+	MAPKBP1
chr2	120025483	120029483	+	JMJD7
chr2	120025493	120029493	+	GM28042
chr2	120031417	120035417	+	PLA2G4B
chr2	120083772	120087772	-	SPTBN5
chr2	120152606	120156606	-	EHD4
chr2	120243335	120247335	-	PLA2G4E
chr2	120287197	120291197	-	PLA2G4D
chr2	120312165	120316165	-	PLA2G4F
chr2	120351137	120355137	-	VPS39
chr2	120402113	120406113	-	TMEM87A
chr2	120401896	120405896	+	GANC
chr2	120454019	120458019	+	CAPN3
chr2	120561843	120565843	-	ZFP106
chr2	120565671	120569671	+	SNAP23
chr2	120607520	120611520	-	LRRC57
chr2	120607383	120611383	+	HAUS2
chr2	120627126	120631126	+	STARD9
chr2	120848128	120852128	-	CDAN1
chr2	120848604	120852604	-	TTBK2
chr2	120968715	120972715	-	UBR1
chr2	120975017	120979017	+	TMEM62
chr2	121006403	121010403	+	CCNDBP1
chr2	121035072	121039072	-	EPB42
chr2	121083841	121087841	-	TGM5
chr2	121107795	121111795	-	TGM7
chr2	121138653	121142653	-	LCMT2
chr2	121138428	121142428	+	ADAL
chr2	121169125	121173125	-	ZSCAN29
chr2	121168654	121172654	+	TUBGCP4
chr2	121269407	121273407	-	TRP53BP1
chr2	121287600	121291600	+	MAP1A
chr2	121353396	121357396	-	PPIP5K1
chr2	121355714	121359714	+	CKMT1
chr2	121385168	121389168	-	STRC
chr2	121411792	121415792	-	CATSPER2
chr2	121411775	121415775	+	PDIA3
chr2	121442278	121446278	-	ELL3
chr2	121454781	121458781	-	SERINC4
chr2	121447195	121451195	+	SERF2
chr2	121451290	121455290	+	HYPK
chr2	121472067	121476067	-	MFAP1B
chr2	121504665	121508665	-	MFAP1A
chr2	121504723	121508723	+	WDR76
chr2	121805087	121809087	-	FRMD5
chr2	121864970	121868970	+	CASC4
chr2	121954092	121958092	-	MAGEB3
chr2	121954001	121958001	+	CTDSPL2
chr2	122026546	122030546	+	EIF3J1
chr2	122116386	122120386	-	SPG11
chr2	122184189	122188189	-	PATL2
chr2	122145686	122149686	+	B2M
chr2	122158700	122162700	+	TRIM69
chr2	122184272	122188272	+	4933406J08RIK
chr2	122232749	122236749	+	SORD
chr2	122296165	122300165	-	DUOX2
chr2	122296900	122300900	+	DUOXA2
chr2	122311730	122315730	-	DUOXA1
chr2	122313672	122317672	+	DUOX1
chr2	122367162	122371162	-	SHF
chr2	122424477	122428477	+	SLC28A2
chr2	122482941	122486941	+	GM14085
chr2	122609303	122613303	-	GATM
chr2	122634986	122638986	+	AA467197
chr2	122700663	122704663	-	SLC30A4
chr2	122736503	122740503	+	BLOC1S6
chr2	122763237	122767237	+	SQRDL
chr2	124087969	124091969	+	SEMA6D
chr2	125066124	125070124	+	SLC24A5
chr2	125121661	125125661	-	MYEF2
chr2	125134692	125138692	+	CTXN2
chr2	125150505	125154505	+	SLC12A1
chr2	125245190	125249190	+	DUT
chr2	125505993	125509993	-	FBN1
chr2	125503089	125507089	+	GM9913
chr2	125623113	125627113	-	CEP152
chr2	125722148	125726148	-	SHC4
chr2	125671095	125675095	+	EID1
chr2	125780870	125784870	-	SECISBP2L
chr2	125857139	125861139	-	COPS2
chr2	125857109	125861109	+	GALK2
chr2	126150004	126154004	-	FAM227B
chr2	126032658	126036658	+	FGF7
chr2	126150141	126154141	+	DTWD1
chr2	126213100	126217100	+	GM17555
chr2	126498674	126502674	-	ATP8B4
chr2	126550407	126554407	+	SLC27A2
chr2	126617299	126621299	-	HDC
chr2	126674337	126678337	-	GABPB1
chr2	126705328	126709328	+	USP8
chr2	126781458	126785458	-	USP50
chr2	126874230	126878230	-	TRPM7
chr2	126931235	126935235	-	SPPL2A
chr2	127006717	127010717	+	AP4E1
chr2	127068665	127072665	+	BLVRA
chr2	127131954	127135954	-	NCAPH
chr2	127141442	127145442	-	ITPRIPL1
chr2	127206280	127210280	-	1810024B03RIK
chr2	127206386	127210386	+	SNRNP200
chr2	127245816	127249816	-	CIAO1
chr2	127245908	127249908	+	TMEM127
chr2	127268218	127272218	+	STARD7
chr2	127334159	127338159	+	DUSP2
chr2	127336639	127340639	+	ASTL
chr2	127361208	127365208	+	ADRA2B
chr2	127423199	127427199	+	GPAT2
chr2	127442565	127446565	-	FAHD2A
chr2	127520094	127524094	-	KCNIP3
chr2	127539467	127543467	-	PROM2
chr2	127585094	127589094	-	ZFP661
chr2	127585222	127589222	+	MRPS5
chr2	127654695	127658695	-	MAL
chr2	127727932	127731932	-	MALL
chr2	127786897	127790897	-	NPHP1
chr2	127790488	127794488	-	1500011K16RIK
chr2	127829865	127833865	-	BUB1
chr2	127836876	127840876	+	ACOXL
chr2	128124038	128128038	+	BCL2L11
chr2	128456737	128460737	+	GM29010
chr2	128589209	128593209	+	SPDYE4C
chr2	128685391	128689391	-	ANAPC1
chr2	128696956	128700956	+	MERTK
chr2	128816118	128820118	+	TMEM87B
chr2	128860981	128864981	+	FBLN7
chr2	128942077	128946077	-	ZC3H8
chr2	128965725	128969725	-	GM10762
chr2	128965402	128969402	+	ZC3H6
chr2	129046172	129050172	-	GM14025
chr2	129063942	129067942	+	TTL
chr2	129098995	129102995	+	POLR1B
chr2	129127700	129131700	+	CHCHD5
chr2	129196764	129200764	+	SLC20A1
chr2	129295212	129299212	-	CKAP2L
chr2	129307972	129311972	-	IL1A
chr2	129369139	129373139	-	IL1B
chr2	129534602	129538602	-	F830045P16RIK
chr2	129590835	129594835	+	SIRPA
chr2	129697844	129701844	-	PDYN
chr2	129798517	129802517	+	STK35
chr2	130010349	130014349	+	TGM3
chr2	130110416	130114416	+	TGM6
chr2	130177403	130181403	-	SNRPB
chr2	130193194	130197194	+	TMC2
chr2	130272430	130276430	+	NOP56
chr2	130282547	130286547	-	IDH3B
chr2	130293169	130297169	+	EBF4
chr2	130395574	130399574	-	CPXM1
chr2	130403239	130407239	+	GM28372
chr2	130403259	130407259	+	1700020A23RIK
chr2	130404478	130408478	+	TMEM239
chr2	130422701	130426701	-	PCED1A
chr2	130422339	130426339	+	VPS16
chr2	130448278	130452278	+	PTPRA
chr2	130561742	130565742	+	MRPS26
chr2	130574173	130578173	+	OXT
chr2	130580554	130584554	-	AVP
chr2	130628038	130632038	-	UBOX5
chr2	130628027	130632027	-	FASTKD5
chr2	130640803	130644803	-	LZTS3
chr2	130662659	130666659	-	DDRGK1
chr2	130665610	130669610	+	ITPA
chr2	130695519	130699519	-	SLC4A11
chr2	130904406	130908406	-	4930402H24RIK
chr2	130904495	130908495	+	ATRN
chr2	131041088	131045088	-	GFRA4
chr2	131061814	131065814	-	ADAM33
chr2	131084765	131088765	-	SIGLEC1
chr2	131125280	131129280	+	HSPA12B
chr2	131131497	131135497	+	GM11037
chr2	131158081	131162081	-	1700037H04RIK
chr2	131185282	131189282	-	SPEF1
chr2	131178067	131182067	-	CENPB
chr2	131184949	131188949	+	CDC25B
chr2	131205078	131209078	+	AP5S1
chr2	131232063	131236063	+	MAVS
chr2	131260495	131264495	+	PANK2
chr2	131350892	131354892	-	RNF24
chr2	131489496	131493496	+	SMOX
chr2	131560283	131564283	-	ADRA1D
chr2	131857747	131861747	-	ERV3
chr2	131907928	131911928	+	PRNP
chr2	131907957	131911957	+	PRN
chr2	131948861	131952861	+	PRND
chr2	132028258	132032258	-	RASSF2
chr2	132143108	132147108	-	SLC23A2
chr2	132245807	132249807	-	TMEM230
chr2	132251314	132255314	-	PCNA
chr2	132261148	132265148	+	CDS2
chr2	132383447	132387447	-	PROKR2
chr2	132585729	132589729	-	GPCPD1
chr2	132684931	132688931	+	1110034G24RIK
chr2	132779278	132783278	+	CHGB
chr2	132814055	132818055	-	TRMT6
chr2	132814141	132818141	+	MCM8
chr2	132844666	132848666	+	CRLS1
chr2	132878891	132882891	-	LRRN4
chr2	132943906	132947906	-	FERMT1
chr2	133550159	133554159	+	BMP2
chr2	134552368	134556368	-	HAO1
chr2	134642145	134646145	-	TMX4
chr2	134784067	134788067	+	PLCB1
chr2	135657011	135661011	+	PLCB4
chr2	136050239	136054239	+	LAMP5
chr2	136385967	136389967	-	PAK7
chr2	136499910	136503910	+	ANKEF1
chr2	136711453	136715453	+	SNAP25
chr2	136889389	136893389	-	MKKS
chr2	136889218	136893218	+	SLX4IP
chr2	137114644	137118644	-	JAG1
chr2	138254565	138258565	+	BTBD3
chr2	139491913	139495913	+	SPTLC3
chr2	139676178	139680178	+	ISM1
chr2	140064805	140068805	-	TASP1
chr2	140168564	140172564	-	ESF1
chr2	140150043	140154043	+	GM17374
chr2	140168649	140172649	+	NDUFAF5
chr2	140387706	140391706	-	SEL1L2
chr2	140393309	140397309	+	MACROD2
chr2	140669469	140673469	-	FLRT3
chr2	142899531	142903531	-	KIF16B
chr2	143061039	143065039	+	SNRPB2
chr2	143076473	143080473	+	OTOR
chr2	143544156	143548156	+	PCSK2
chr2	143861173	143865173	-	BFSP1
chr2	143913320	143917320	+	DSTN
chr2	144009263	144013263	-	RRBP1
chr2	144031059	144035059	+	BANF2
chr2	144268906	144272906	-	SNX5
chr2	144268663	144272663	+	MGME1
chr2	144330146	144334146	-	OVOL2
chr2	144366983	144370983	+	CSRP2BP
chr2	144366996	144370996	+	PET117
chr2	144525414	144529414	-	DZANK1
chr2	144525718	144529718	+	POLR3F
chr2	144548869	144552869	-	RBBP9
chr2	144554229	144558229	+	SEC23B
chr2	144592054	144596054	+	GM561
chr2	144597897	144601897	+	DTD1
chr2	144821656	144825656	+	SCP2D1
chr2	145165754	145169754	+	SLC24A3
chr2	145782734	145786734	+	RIN2
chr2	145900099	145904099	+	NAA20
chr2	145933014	145937014	-	CRNKL1
chr2	145932784	145936784	+	CFAP61
chr2	146219921	146223921	+	INSM1
chr2	146510026	146514026	-	RALGAPA2
chr2	146853864	146857864	+	KIZ
chr2	147010996	147014996	+	XRN2
chr2	147083445	147087445	-	NKX2-4
chr2	147192243	147196243	-	NKX2-2
chr2	147359925	147363925	+	PAX1
chr2	148044969	148048969	-	FOXA2
chr2	148393344	148397344	+	SSTR4
chr2	148406188	148410188	-	THBD
chr2	148441563	148445563	-	CD93
chr2	148670601	148674601	+	NXT1
chr2	148679023	148683023	+	GZF1
chr2	148730467	148734467	-	NAPB
chr2	148748358	148752358	+	CSTL1
chr2	148769497	148773497	-	CST11
chr2	148780009	148784009	+	8030411F24RIK
chr2	148787361	148791361	+	CST12
chr2	148796785	148800785	+	CST8
chr2	148818081	148822081	+	CST13
chr2	148833147	148837147	+	CST9
chr2	148863038	148867038	-	9230104L09RIK
chr2	148873692	148877692	-	CST3
chr2	149001251	149005251	-	GM1330
chr2	149015237	149019237	-	GM10750
chr2	149403057	149407057	+	CST10
chr2	149827211	149831211	+	SYNDIG1
chr2	149829213	149833213	-	C530025M09RIK
chr2	150134708	150138708	-	ZFP120
chr2	150177679	150181679	-	GM10770
chr2	150179755	150183755	+	GM14139
chr2	150216073	150220073	+	ZFP937
chr2	150253591	150257591	-	GM21994
chr2	150255517	150259517	+	GM14124
chr2	150360765	150364765	-	3300002I08RIK
chr2	150321702	150325702	+	GM10130
chr2	150449486	150453486	-	ZFP442
chr2	150483091	150487091	-	ZFP345
chr2	150568415	150572415	+	CST7
chr2	150606567	150610567	-	APMAP
chr2	150666500	150670500	-	ACSS1
chr2	150687360	150691360	-	VSX1
chr2	150747042	150751042	+	ENTPD6
chr2	150784735	150788735	+	PYGB
chr2	150902741	150906741	-	ABHD12
chr2	150903400	150907400	+	GINS1
chr2	151037382	151041382	-	NINL
chr2	151037398	151041398	-	NANP
chr2	151090350	151094350	-	GM14151
chr2	151096245	151100245	+	GM14147
chr2	151474153	151478153	-	4921509C19RIK
chr2	151492182	151496182	+	NSFL1C
chr2	151540483	151544483	+	FKBP1A
chr2	151570622	151574622	+	SDCBP2
chr2	151630593	151634593	-	SNPH
chr2	151666533	151670533	-	RAD21L
chr2	151700008	151704008	+	TMEM74B
chr2	151742186	151746186	-	PSMF1
chr2	151840927	151844927	+	RSPO4
chr2	151909210	151913210	+	ANGPT4
chr2	151978219	151982219	-	FAM110A
chr2	151994511	151998511	+	SLC52A3
chr2	152079529	152083529	+	SCRT2
chr2	152103516	152107516	+	SRXN1
chr2	152141561	152145561	+	TCF15
chr2	152224839	152228839	+	CSNK2A1
chr2	152291828	152295828	+	TBC1D20
chr2	152330653	152334653	-	RBCK1
chr2	152342032	152346032	-	TRIB3
chr2	152374638	152378638	-	NRSN2
chr2	152396063	152400063	-	SOX12
chr2	152413027	152417027	-	ZCCHC3
chr2	152413587	152417587	+	6820408C15RIK
chr2	152462620	152466620	-	DEFB23
chr2	152475063	152479063	+	DEFB20
chr2	152488138	152492138	-	DEFB22
chr2	152509692	152513692	-	DEFB26
chr2	152516255	152520255	+	DEFB28
chr2	152538098	152542098	-	DEFB29
chr2	152567338	152571338	+	GM17416
chr2	152570744	152574744	+	DEFB21
chr2	152578312	152582312	-	DEFB19
chr2	152597399	152601399	-	DEFB45
chr2	152602327	152606327	+	DEFB36
chr2	152621053	152625053	-	DEFB25
chr2	152624951	152628951	+	REM1
chr2	152667461	152671461	+	H13
chr2	152685035	152689035	+	MCTS2
chr2	152734251	152738251	+	ID1
chr2	152752173	152756173	+	COX4I2
chr2	152829728	152833728	-	BCL2L1
chr2	152845964	152849964	+	TPX2
chr2	152909352	152913352	+	MYLK2
chr2	152931208	152935208	-	FOXS1
chr2	152949698	152953698	-	DUSP15
chr2	152960485	152964485	+	TTLL9
chr2	153013427	153017427	-	PDRG1
chr2	153029852	153033852	+	XKR7
chr2	153063955	153067955	+	CCM2L
chr2	153106468	153110468	+	HCK
chr2	153159303	153163303	+	TM9SF4
chr2	153223441	153227441	-	TSPYL3
chr2	153239426	153243426	-	PLAGL2
chr2	153239533	153243533	+	POFUT1
chr2	153289413	153293413	+	KIF3B
chr2	153343845	153347845	+	ASXL1
chr2	153527971	153531971	-	NOL4L
chr2	153490790	153494790	+	4930404H24RIK
chr2	153630781	153634781	-	COMMD7
chr2	153647450	153651450	+	DNMT3B
chr2	153739274	153743274	+	MAPRE1
chr2	153778879	153782879	+	EFCAB8
chr2	153869084	153873084	-	SUN5
chr2	153873045	153877045	+	BPIFB2
chr2	153898388	153902388	+	BPIFB6
chr2	153916230	153920230	+	BPIFB3
chr2	153936212	153940212	+	BPIFB4
chr2	153972945	153976945	+	BPIFA6
chr2	154006265	154010265	+	BPIFA2
chr2	154128336	154132336	+	BPIFA3
chr2	154140880	154144880	+	BPIFA1
chr2	154160607	154164607	+	BPIFA5
chr2	154188818	154192818	+	BPIFB1
chr2	154221742	154225742	+	BPIFB5
chr2	154255854	154259854	+	BPIFB9A
chr2	154305227	154309227	+	BPIFB9B
chr2	154371010	154375010	-	CDK5RAP1
chr2	154406099	154410099	-	SNTA1
chr2	154434481	154438481	+	CBFA2T2
chr2	154556890	154560890	-	NECAB3
chr2	154545085	154549085	+	1700003F12RIK
chr2	154549776	154553776	+	ACTL10
chr2	154567892	154571892	-	E2F1
chr2	154601708	154605708	-	PXMP4
chr2	154611437	154615437	-	4930519P11RIK
chr2	154611297	154615297	+	ZFP341
chr2	154649705	154653705	+	CHMP4B
chr2	154768030	154772030	-	GM14214
chr2	154789096	154793096	+	RALY
chr2	154789402	154793402	+	A
chr2	154890935	154894935	-	EIF2S2
chr2	155016266	155020266	+	GM14226
chr2	155072497	155076497	-	AHCY
chr2	155131509	155135509	+	ITCH
chr2	155234533	155238533	+	DYNLRB1
chr2	155274297	155278297	+	MAP1LC3A
chr2	155355430	155359430	-	PIGU
chr2	155379059	155383059	+	TRP53INP2
chr2	155471894	155475894	-	NCOA6
chr2	155516237	155520237	-	GGT7
chr2	155515948	155519948	+	ACSS2
chr2	155590810	155594810	-	GSS
chr2	155609212	155613212	+	MYH7B
chr2	155690384	155694384	-	TRPC4AP
chr2	155727475	155731475	-	EDEM2
chr2	155733866	155737866	-	GM17581
chr2	155749117	155753117	+	PROCR
chr2	155773342	155777342	+	MMP24
chr2	155817426	155821426	-	BC029722
chr2	155824925	155828925	-	EIF6
chr2	155832854	155836854	-	FAM83C
chr2	155928310	155932310	-	UQCC1
chr2	155938728	155942728	+	GM15557
chr2	155943367	155947367	-	GDF5
chr2	155954458	155958458	+	CEP250
chr2	156005977	156009977	-	6430550D23RIK
chr2	156006045	156010045	+	ERGIC3
chr2	156050947	156054947	-	FER1L4
chr2	156063175	156067175	+	SPAG4
chr2	156109965	156113965	-	CPNE1
chr2	156125092	156129092	-	GM28036
chr2	156109978	156113978	-	RBM12
chr2	156142186	156146186	-	NFS1
chr2	156142039	156146039	+	ROMO1
chr2	156178238	156182238	-	RBM39
chr2	156194466	156198466	+	PHF20
chr2	156310704	156314704	-	SCAND1
chr2	156310299	156314299	+	CNBD2
chr2	156418909	156422909	+	EPB41L1
chr2	156545584	156549584	+	AAR2
chr2	156611705	156615705	+	DLGAP4
chr2	156773420	156777420	+	MYL9
chr2	156838007	156842007	+	TGIF2
chr2	156855946	156859946	-	4930518I15RIK
chr2	156861128	156865128	+	1110008F13RIK
chr2	156885192	156889192	-	SLA2
chr2	156990056	156994056	-	NDRG3
chr2	157005154	157009154	-	DSN1
chr2	157077254	157081254	-	SOGA1
chr2	157085055	157089055	+	TLDC2
chr2	157133265	157137265	-	SAMHD1
chr2	157202534	157206534	-	RBL1
chr2	157277549	157281549	-	MROH8
chr2	157277017	157281017	+	RPN2
chr2	157345506	157349506	-	GHRH
chr2	157365594	157369594	+	MANBAL
chr2	157416444	157420444	+	SRC
chr2	157569274	157573274	-	BLCAP
chr2	157558078	157562078	+	NNAT
chr2	157735401	157739401	+	CTNNBL1
chr2	157912653	157916653	+	VSTM2L
chr2	158026433	158030433	-	TTI1
chr2	158026497	158030497	+	RPRD1B
chr2	158144436	158148436	-	TGM2
chr2	158227222	158231222	-	D630003M21RIK
chr2	158256094	158260094	+	BPI
chr2	158304493	158308493	+	LBP
chr2	158373638	158377638	+	SNHG11
chr2	158407848	158411848	+	RALGAPB
chr2	158500612	158504612	+	ADIG
chr2	158510796	158514796	+	ARHGAP40
chr2	158608767	158612767	+	SLC32A1
chr2	158622888	158626888	+	ACTR5
chr2	158663398	158667398	+	PPP1R16B
chr2	158766093	158770093	+	FAM83D
chr2	158792807	158796807	+	DHX35
chr2	160332162	160336162	-	GM826
chr2	160365065	160369065	-	MAFB
chr2	160643888	160647888	+	TOP1
chr2	160729300	160733300	+	PLCG1
chr2	160870998	160874998	-	ZHX3
chr2	160878670	160882670	+	LPIN3
chr2	160910328	160914328	-	EMILIN3
chr2	161107075	161111075	-	CHD6
chr2	162659147	162663147	-	PTPRT
chr2	162929528	162933528	+	SRSF6
chr2	162941472	162945472	+	L3MBTL1
chr2	162985330	162989330	+	SGK2
chr2	163015354	163019354	+	IFT52
chr2	163052687	163056687	+	MYBL2
chr2	163085855	163089855	-	GTSF1L
chr2	163201125	163205125	+	TOX2
chr2	163395993	163399993	-	JPH2
chr2	163422697	163426697	-	OSER1
chr2	163436476	163440476	+	GDAP1L1
chr2	163470629	163474629	-	FITM2
chr2	163490318	163494318	+	R3HDML
chr2	163504808	163508808	+	HNF4A
chr2	163600314	163604314	+	TTPAL
chr2	163643131	163647131	-	SERINC3
chr2	163656386	163660386	+	PKIG
chr2	163748239	163752239	-	ADA
chr2	163818861	163822861	+	WISP2
chr2	163851651	163855651	+	KCNK15
chr2	163916683	163920683	-	RIMS4
chr2	163992960	163996960	+	YWHAB
chr2	164023450	164027450	+	PABPC1L
chr2	164069169	164073169	-	TOMM34
chr2	164068322	164072322	+	STK4
chr2	164169113	164173113	-	KCNS1
chr2	164180742	164184742	-	WFDC5
chr2	164188608	164192608	-	WFDC12
chr2	164198130	164202130	-	WFDC15A
chr2	164219660	164223660	-	WFDC15B
chr2	164236466	164240466	-	SVS2
chr2	164254640	164258640	-	SVS3B
chr2	164276459	164280459	-	SVS4
chr2	164287268	164291268	+	SVS3A
chr2	164314751	164318751	+	SVS6
chr2	164330740	164334740	+	SVS5
chr2	164387095	164391095	-	SLPI
chr2	164403160	164407160	-	MATN4
chr2	164401141	164405141	+	RBPJL
chr2	164441887	164445887	-	SDC4
chr2	164454964	164458964	+	SYS1
chr2	164458967	164462967	+	GM20458
chr2	164471724	164475724	-	TRP53TG5
chr2	164484106	164488106	+	DBNDD2
chr2	164495520	164499520	+	PIGT
chr2	164560413	164564413	+	WFDC2
chr2	164571459	164575459	-	SPINT3
chr2	164583447	164587447	-	WFDC6A
chr2	164591594	164595594	-	EPPIN
chr2	164611626	164615626	-	WFDC8
chr2	164611522	164615522	+	WFDC6B
chr2	164636796	164640796	-	WFDC16
chr2	164654583	164658583	-	WFDC9
chr2	164654046	164658046	+	WFDC10
chr2	164672087	164676087	-	WFDC11
chr2	164683107	164687107	+	WFDC13
chr2	164696501	164700501	+	SPINT4
chr2	164713305	164717305	+	SPINT5
chr2	164743931	164747931	-	WFDC3
chr2	164743983	164747983	+	DNTTIP1
chr2	164767898	164771898	+	UBE2C
chr2	164777967	164781967	-	TNNC2
chr2	164783823	164787823	+	SNX21
chr2	164802882	164806882	-	ACOT8
chr2	164803098	164807098	+	ZSWIM3
chr2	164820686	164824686	+	ZSWIM1
chr2	164826537	164830537	-	SPATA25
chr2	164831456	164835456	-	NEURL2
chr2	164830873	164834873	+	CTSA
chr2	164855711	164859711	-	PLTP
chr2	164877304	164881304	+	PCIF1
chr2	164909757	164913757	-	ZFP335
chr2	164938780	164942780	+	MMP9
chr2	164958802	164962802	+	SLC12A5
chr2	165032867	165036867	-	NCOA5
chr2	165053627	165057627	+	CD40
chr2	165088750	165092750	-	1700025C18RIK
chr2	165232853	165236853	-	CDH22
chr2	165285869	165289869	-	SLC35C2
chr2	165324479	165328479	-	ELMO2
chr2	165366729	165370729	-	ZFP663
chr2	165386259	165390259	-	ZFP334
chr2	165398405	165402405	-	OCSTAMP
chr2	165471230	165475230	-	SLC13A3
chr2	165491324	165495324	-	TRP53RKA
chr2	165501787	165505787	+	SLC2A10
chr2	165593032	165597032	+	EYA2
chr2	165897016	165901016	-	ZMYND8
chr2	165990636	165994636	+	NCOA3
chr2	166153663	166157663	-	SULF2
chr2	166711832	166715832	-	PREX1
chr2	166790531	166794531	+	TRP53RKB
chr2	166803588	166807588	+	ARFGEF2
chr2	166904040	166908040	+	CSE1L
chr2	166994299	166998299	-	STAU1
chr2	167013193	167017193	+	DDX27
chr2	167061015	167065015	-	ZNFX1
chr2	167060934	167064934	+	ZFAS1
chr2	167188155	167192155	-	KCNB1
chr2	167238604	167242604	-	PTGIS
chr2	167347183	167351183	-	B4GALT5
chr2	167419712	167423712	+	SLC9A8
chr2	167490887	167494887	-	SPATA2
chr2	167490645	167494645	+	RNF114
chr2	167536195	167540195	+	SNAI1
chr2	167630095	167634095	-	UBE2V1
chr2	167659496	167663496	-	GM20431
chr2	167687822	167691822	-	TMEM189
chr2	167686915	167690915	+	CEBPB
chr2	167930057	167934057	+	PTPN1
chr2	168008618	168012618	-	FAM65C
chr2	168079004	168083004	+	PARD6B
chr2	168205112	168209112	-	ADNP
chr2	168228364	168232364	-	GM20716
chr2	168228591	168232591	-	DPM1
chr2	168228622	168232622	+	MOCS3
chr2	168279736	168283736	-	KCNG1
chr2	168599657	168603657	-	NFATC2
chr2	168740409	168744409	-	ATP9A
chr2	168765943	168769943	-	SALL4
chr2	168953587	168957587	-	ZFP64
chr2	169585745	169589745	-	GM11011
chr2	169631013	169635013	+	TSHZ2
chr2	170146103	170150103	-	ZFP217
chr2	170425845	170429845	-	BCAS1
chr2	170495145	170499145	-	CYP24A1
chr2	170494428	170498428	+	PFDN4
chr2	170600017	170604017	-	4930470P17RIK
chr2	170729807	170733807	+	DOK5
